07/31 06:48:38 PM | Valid: [ 1/200] Step 040/380 Loss 6.044 Prec@(1,5) (0.2%, 1.5%)
07/31 06:48:44 PM | Valid: [ 1/200] Step 050/380 Loss 6.043 Prec@(1,5) (0.1%, 1.2%)
07/31 06:48:50 PM | Valid: [ 1/200] Step 060/380 Loss 6.004 Prec@(1,5) (0.1%, 1.0%)
07/31 06:48:56 PM | Valid: [ 1/200] Step 070/380 Loss 6.012 Prec@(1,5) (0.1%, 0.9%)
07/31 06:49:01 PM | Valid: [ 1/200] Step 080/380 Loss 6.028 Prec@(1,5) (0.1%, 0.8%)
07/31 06:49:07 PM | Valid: [ 1/200] Step 090/380 Loss 6.032 Prec@(1,5) (0.1%, 1.5%)
07/31 06:49:13 PM | Valid: [ 1/200] Step 100/380 Loss 6.019 Prec@(1,5) (0.4%, 2.7%)
07/31 06:49:18 PM | Valid: [ 1/200] Step 110/380 Loss 5.992 Prec@(1,5) (0.6%, 3.3%)
07/31 06:49:23 PM | Valid: [ 1/200] Step 120/380 Loss 5.984 Prec@(1,5) (0.7%, 4.1%)
07/31 06:49:29 PM | Valid: [ 1/200] Step 130/380 Loss 5.992 Prec@(1,5) (0.7%, 4.1%)
07/31 06:49:34 PM | Valid: [ 1/200] Step 140/380 Loss 5.977 Prec@(1,5) (0.9%, 4.6%)
07/31 06:49:39 PM | Valid: [ 1/200] Step 150/380 Loss 5.993 Prec@(1,5) (0.9%, 4.3%)
07/31 06:49:45 PM | Valid: [ 1/200] Step 160/380 Loss 6.005 Prec@(1,5) (0.8%, 4.3%)
07/31 06:49:51 PM | Valid: [ 1/200] Step 170/380 Loss 5.985 Prec@(1,5) (0.8%, 4.7%)
07/31 06:49:56 PM | Valid: [ 1/200] Step 180/380 Loss 5.951 Prec@(1,5) (1.4%, 5.7%)
07/31 06:50:02 PM | Valid: [ 1/200] Step 190/380 Loss 5.921 Prec@(1,5) (1.9%, 6.8%)
07/31 06:50:08 PM | Valid: [ 1/200] Step 200/380 Loss 5.933 Prec@(1,5) (1.9%, 6.4%)
07/31 06:50:15 PM | Valid: [ 1/200] Step 210/380 Loss 5.913 Prec@(1,5) (1.9%, 6.7%)
07/31 06:50:21 PM | Valid: [ 1/200] Step 220/380 Loss 5.913 Prec@(1,5) (1.8%, 6.7%)
07/31 06:50:26 PM | Valid: [ 1/200] Step 230/380 Loss 5.925 Prec@(1,5) (1.8%, 6.4%)
07/31 06:50:32 PM | Valid: [ 1/200] Step 240/380 Loss 5.923 Prec@(1,5) (1.7%, 6.1%)
07/31 06:50:37 PM | Valid: [ 1/200] Step 250/380 Loss 5.933 Prec@(1,5) (1.6%, 5.9%)
07/31 06:50:42 PM | Valid: [ 1/200] Step 260/380 Loss 5.932 Prec@(1,5) (1.9%, 6.0%)
07/31 06:50:48 PM | Valid: [ 1/200] Step 270/380 Loss 5.927 Prec@(1,5) (1.8%, 6.1%)
07/31 06:50:53 PM | Valid: [ 1/200] Step 280/380 Loss 5.942 Prec@(1,5) (1.7%, 5.9%)
07/31 06:50:58 PM | Valid: [ 1/200] Step 290/380 Loss 5.955 Prec@(1,5) (1.7%, 5.7%)
07/31 06:51:03 PM | Valid: [ 1/200] Step 300/380 Loss 5.951 Prec@(1,5) (1.6%, 5.9%)
07/31 06:51:09 PM | Valid: [ 1/200] Step 310/380 Loss 5.952 Prec@(1,5) (1.8%, 6.2%)
07/31 06:51:14 PM | Valid: [ 1/200] Step 320/380 Loss 5.949 Prec@(1,5) (1.8%, 6.2%)
07/31 06:51:19 PM | Valid: [ 1/200] Step 330/380 Loss 5.968 Prec@(1,5) (1.8%, 6.1%)
07/31 06:51:25 PM | Valid: [ 1/200] Step 340/380 Loss 5.958 Prec@(1,5) (1.8%, 6.3%)
07/31 06:51:30 PM | Valid: [ 1/200] Step 350/380 Loss 5.950 Prec@(1,5) (1.8%, 6.4%)
07/31 06:51:36 PM | Valid: [ 1/200] Step 360/380 Loss 5.957 Prec@(1,5) (1.7%, 6.2%)
07/31 06:51:41 PM | Valid: [ 1/200] Step 370/380 Loss 5.955 Prec@(1,5) (1.7%, 6.1%)
07/31 06:51:55 PM | Final best Prec@1 = 1.6201%
07/31 06:53:08 PM | Train: [ 2/200] Step 010/380 Loss 6.023 Prec@(1,5) (0.9%, 5.6%)
07/31 06:53:15 PM | Train: [ 2/200] Step 020/380 Loss 6.012 Prec@(1,5) (0.8%, 5.5%)
07/31 06:53:21 PM | Train: [ 2/200] Step 030/380 Loss 5.998 Prec@(1,5) (0.6%, 5.8%)
07/31 06:53:27 PM | Train: [ 2/200] Step 040/380 Loss 5.995 Prec@(1,5) (1.0%, 6.2%)
07/31 06:53:34 PM | Train: [ 2/200] Step 050/380 Loss 6.008 Prec@(1,5) (1.1%, 6.1%)
07/31 06:53:40 PM | Train: [ 2/200] Step 060/380 Loss 6.006 Prec@(1,5) (1.1%, 6.0%)
07/31 06:53:46 PM | Train: [ 2/200] Step 070/380 Loss 5.995 Prec@(1,5) (1.0%, 5.7%)
07/31 06:53:52 PM | Train: [ 2/200] Step 080/380 Loss 5.985 Prec@(1,5) (1.1%, 5.9%)
07/31 06:53:59 PM | Train: [ 2/200] Step 090/380 Loss 5.988 Prec@(1,5) (1.0%, 5.8%)
07/31 06:54:06 PM | Train: [ 2/200] Step 100/380 Loss 5.992 Prec@(1,5) (1.0%, 5.8%)
07/31 06:54:12 PM | Train: [ 2/200] Step 110/380 Loss 5.985 Prec@(1,5) (1.1%, 5.9%)
07/31 06:54:19 PM | Train: [ 2/200] Step 120/380 Loss 5.977 Prec@(1,5) (1.1%, 5.8%)
07/31 06:54:25 PM | Train: [ 2/200] Step 130/380 Loss 5.982 Prec@(1,5) (1.2%, 6.0%)
07/31 06:54:31 PM | Train: [ 2/200] Step 140/380 Loss 5.975 Prec@(1,5) (1.2%, 6.0%)
07/31 06:54:38 PM | Train: [ 2/200] Step 150/380 Loss 5.963 Prec@(1,5) (1.3%, 6.1%)
07/31 06:54:44 PM | Train: [ 2/200] Step 160/380 Loss 5.952 Prec@(1,5) (1.4%, 6.3%)
07/31 06:54:50 PM | Train: [ 2/200] Step 170/380 Loss 5.939 Prec@(1,5) (1.5%, 6.5%)
07/31 06:54:57 PM | Train: [ 2/200] Step 180/380 Loss 5.932 Prec@(1,5) (1.6%, 6.5%)
07/31 06:55:04 PM | Train: [ 2/200] Step 190/380 Loss 5.929 Prec@(1,5) (1.6%, 6.6%)
07/31 06:55:12 PM | Train: [ 2/200] Step 200/380 Loss 5.921 Prec@(1,5) (1.6%, 6.6%)
07/31 06:55:18 PM | Train: [ 2/200] Step 210/380 Loss 5.914 Prec@(1,5) (1.7%, 6.8%)
07/31 06:55:24 PM | Train: [ 2/200] Step 220/380 Loss 5.902 Prec@(1,5) (1.7%, 6.9%)
07/31 06:55:31 PM | Train: [ 2/200] Step 230/380 Loss 5.893 Prec@(1,5) (1.7%, 6.9%)
07/31 06:55:38 PM | Train: [ 2/200] Step 240/380 Loss 5.883 Prec@(1,5) (1.7%, 7.1%)
07/31 06:55:44 PM | Train: [ 2/200] Step 250/380 Loss 5.874 Prec@(1,5) (1.8%, 7.2%)
07/31 06:55:51 PM | Train: [ 2/200] Step 260/380 Loss 5.865 Prec@(1,5) (1.8%, 7.3%)
07/31 06:55:57 PM | Train: [ 2/200] Step 270/380 Loss 5.860 Prec@(1,5) (1.9%, 7.3%)
07/31 06:56:05 PM | Train: [ 2/200] Step 280/380 Loss 5.853 Prec@(1,5) (1.9%, 7.4%)
07/31 06:56:11 PM | Train: [ 2/200] Step 290/380 Loss 5.843 Prec@(1,5) (2.0%, 7.5%)
07/31 06:56:18 PM | Train: [ 2/200] Step 300/380 Loss 5.834 Prec@(1,5) (2.0%, 7.6%)
07/31 06:56:24 PM | Train: [ 2/200] Step 310/380 Loss 5.823 Prec@(1,5) (2.1%, 7.7%)
07/31 06:56:31 PM | Train: [ 2/200] Step 320/380 Loss 5.816 Prec@(1,5) (2.0%, 7.8%)
07/31 06:56:38 PM | Train: [ 2/200] Step 330/380 Loss 5.806 Prec@(1,5) (2.1%, 7.9%)
07/31 06:56:44 PM | Train: [ 2/200] Step 340/380 Loss 5.799 Prec@(1,5) (2.2%, 8.1%)
07/31 06:56:50 PM | Train: [ 2/200] Step 350/380 Loss 5.787 Prec@(1,5) (2.2%, 8.2%)
07/31 06:56:57 PM | Train: [ 2/200] Step 360/380 Loss 5.777 Prec@(1,5) (2.3%, 8.4%)
07/31 06:57:04 PM | Train: [ 2/200] Step 370/380 Loss 5.770 Prec@(1,5) (2.3%, 8.4%)
07/31 06:57:10 PM | Train: [ 2/200] Step 380/380 Loss 5.764 Prec@(1,5) (2.4%, 8.4%)
07/31 06:57:17 PM | Train: [ 2/200] Final Prec@1 2.3602%
07/31 06:58:21 PM | Valid: [ 2/200] Step 000/380 Loss 5.698 Prec@(1,5) (0.0%, 0.0%)
07/31 06:58:26 PM | Valid: [ 2/200] Step 010/380 Loss 5.380 Prec@(1,5) (5.4%, 20.2%)
07/31 06:58:32 PM | Valid: [ 2/200] Step 020/380 Loss 5.389 Prec@(1,5) (3.1%, 12.2%)
07/31 06:58:37 PM | Valid: [ 2/200] Step 030/380 Loss 5.255 Prec@(1,5) (4.4%, 13.9%)
07/31 06:58:42 PM | Valid: [ 2/200] Step 040/380 Loss 5.201 Prec@(1,5) (4.9%, 16.8%)
07/31 06:58:47 PM | Valid: [ 2/200] Step 050/380 Loss 5.098 Prec@(1,5) (6.7%, 18.3%)
07/31 06:58:52 PM | Valid: [ 2/200] Step 060/380 Loss 4.885 Prec@(1,5) (9.2%, 23.2%)
07/31 06:58:57 PM | Valid: [ 2/200] Step 070/380 Loss 4.935 Prec@(1,5) (8.0%, 21.0%)
07/31 06:59:03 PM | Valid: [ 2/200] Step 080/380 Loss 4.912 Prec@(1,5) (7.9%, 21.0%)
07/31 06:59:08 PM | Valid: [ 2/200] Step 090/380 Loss 4.939 Prec@(1,5) (7.9%, 19.8%)
07/31 06:59:13 PM | Valid: [ 2/200] Step 100/380 Loss 4.980 Prec@(1,5) (7.1%, 18.3%)
07/31 06:59:18 PM | Valid: [ 2/200] Step 110/380 Loss 5.040 Prec@(1,5) (6.5%, 16.7%)
07/31 06:59:24 PM | Valid: [ 2/200] Step 120/380 Loss 5.030 Prec@(1,5) (7.4%, 17.3%)
07/31 06:59:29 PM | Valid: [ 2/200] Step 130/380 Loss 5.070 Prec@(1,5) (6.9%, 16.2%)
07/31 06:59:34 PM | Valid: [ 2/200] Step 140/380 Loss 5.031 Prec@(1,5) (7.9%, 18.2%)
07/31 06:59:40 PM | Valid: [ 2/200] Step 150/380 Loss 5.040 Prec@(1,5) (7.4%, 18.0%)
07/31 06:59:45 PM | Valid: [ 2/200] Step 160/380 Loss 5.051 Prec@(1,5) (7.0%, 17.9%)
07/31 06:59:51 PM | Valid: [ 2/200] Step 170/380 Loss 5.028 Prec@(1,5) (7.7%, 19.0%)
07/31 06:59:56 PM | Valid: [ 2/200] Step 180/380 Loss 5.011 Prec@(1,5) (7.5%, 19.0%)
07/31 07:00:01 PM | Valid: [ 2/200] Step 190/380 Loss 4.993 Prec@(1,5) (7.4%, 20.0%)
07/31 07:00:06 PM | Valid: [ 2/200] Step 200/380 Loss 5.001 Prec@(1,5) (7.4%, 19.8%)
07/31 07:00:12 PM | Valid: [ 2/200] Step 210/380 Loss 4.998 Prec@(1,5) (7.3%, 19.6%)
07/31 07:00:21 PM | Valid: [ 2/200] Step 220/380 Loss 5.008 Prec@(1,5) (7.0%, 19.6%)
07/31 07:00:26 PM | Valid: [ 2/200] Step 230/380 Loss 5.018 Prec@(1,5) (6.9%, 19.5%)
07/31 07:00:32 PM | Valid: [ 2/200] Step 240/380 Loss 5.017 Prec@(1,5) (7.3%, 19.8%)
07/31 07:00:37 PM | Valid: [ 2/200] Step 250/380 Loss 5.005 Prec@(1,5) (7.2%, 20.3%)
07/31 07:00:42 PM | Valid: [ 2/200] Step 260/380 Loss 5.022 Prec@(1,5) (7.1%, 19.9%)
07/31 07:00:47 PM | Valid: [ 2/200] Step 270/380 Loss 5.016 Prec@(1,5) (6.9%, 19.6%)
07/31 07:00:52 PM | Valid: [ 2/200] Step 280/380 Loss 5.037 Prec@(1,5) (6.7%, 19.1%)
