07/31 11:21:48 PM | Logger is set 
08/01 11:48:39 AM | Train: [ 1/200] Step 210/380 Loss 40.490 Prec@(1,5) (1.1%, 4.8%)
08/01 11:48:49 AM | Train: [ 1/200] Step 220/380 Loss 40.326 Prec@(1,5) (1.2%, 5.0%)
08/01 11:48:58 AM | Train: [ 1/200] Step 230/380 Loss 40.168 Prec@(1,5) (1.2%, 5.3%)
08/01 11:49:09 AM | Train: [ 1/200] Step 240/380 Loss 39.996 Prec@(1,5) (1.4%, 5.5%)
08/01 11:49:18 AM | Train: [ 1/200] Step 250/380 Loss 39.861 Prec@(1,5) (1.5%, 5.7%)
08/01 11:49:28 AM | Train: [ 1/200] Step 260/380 Loss 39.723 Prec@(1,5) (1.5%, 5.8%)
08/01 11:49:40 AM | Train: [ 1/200] Step 270/380 Loss 39.575 Prec@(1,5) (1.6%, 6.1%)
08/01 11:49:51 AM | Train: [ 1/200] Step 280/380 Loss 39.440 Prec@(1,5) (1.7%, 6.3%)
08/01 11:50:03 AM | Train: [ 1/200] Step 290/380 Loss 39.320 Prec@(1,5) (1.7%, 6.5%)
08/01 11:50:13 AM | Train: [ 1/200] Step 300/380 Loss 39.195 Prec@(1,5) (1.8%, 6.7%)
08/01 11:50:21 AM | Train: [ 1/200] Step 310/380 Loss 39.064 Prec@(1,5) (1.8%, 6.9%)
08/01 11:50:29 AM | Train: [ 1/200] Step 320/380 Loss 38.948 Prec@(1,5) (1.9%, 7.2%)
08/01 11:50:38 AM | Train: [ 1/200] Step 330/380 Loss 38.842 Prec@(1,5) (1.9%, 7.4%)
08/01 11:50:46 AM | Train: [ 1/200] Step 340/380 Loss 38.715 Prec@(1,5) (2.1%, 7.7%)
08/01 11:50:54 AM | Train: [ 1/200] Step 350/380 Loss 38.607 Prec@(1,5) (2.2%, 7.9%)
08/01 11:51:02 AM | Train: [ 1/200] Step 360/380 Loss 38.512 Prec@(1,5) (2.2%, 8.0%)
08/01 11:51:10 AM | Train: [ 1/200] Step 370/380 Loss 38.407 Prec@(1,5) (2.3%, 8.2%)
08/01 11:51:20 AM | Train: [ 1/200] Step 380/380 Loss 38.319 Prec@(1,5) (2.3%, 8.4%)
08/01 11:51:23 AM | Train: [ 1/200] Final Prec@1 2.3109%
08/01 11:53:14 AM | Valid: [ 1/200] Step 000/023 Loss 36.607 Prec@(1,5) (0.0%, 9.4%)
08/01 11:53:23 AM | Valid: [ 1/200] Step 010/023 Loss 35.918 Prec@(1,5) (2.6%, 8.2%)
08/01 11:53:33 AM | Valid: [ 1/200] Step 020/023 Loss 36.040 Prec@(1,5) (1.9%, 8.5%)
08/01 11:53:38 AM | Valid: [ 1/200] Final Prec@1 1.7663%, Prec@5 8.0163%, Prec@10 14.6739%
08/01 11:53:39 AM | Final best Prec@1 = 1.7663%
08/01 11:55:36 AM | Train: [ 2/200] Step 010/380 Loss 34.010 Prec@(1,5) (7.2%, 16.6%)
08/01 11:55:43 AM | Train: [ 2/200] Step 020/380 Loss 33.838 Prec@(1,5) (6.6%, 16.6%)
08/01 11:55:51 AM | Train: [ 2/200] Step 030/380 Loss 33.755 Prec@(1,5) (5.6%, 17.2%)
08/01 11:55:58 AM | Train: [ 2/200] Step 040/380 Loss 33.649 Prec@(1,5) (6.2%, 17.4%)
08/01 11:56:08 AM | Train: [ 2/200] Step 050/380 Loss 33.712 Prec@(1,5) (6.0%, 17.1%)
08/01 11:56:15 AM | Train: [ 2/200] Step 060/380 Loss 33.624 Prec@(1,5) (5.9%, 17.4%)
08/01 11:56:24 AM | Train: [ 2/200] Step 070/380 Loss 33.525 Prec@(1,5) (6.2%, 17.7%)
08/01 11:56:32 AM | Train: [ 2/200] Step 080/380 Loss 33.565 Prec@(1,5) (6.1%, 17.3%)
08/01 11:56:39 AM | Train: [ 2/200] Step 090/380 Loss 33.542 Prec@(1,5) (6.1%, 17.6%)
08/01 11:56:46 AM | Train: [ 2/200] Step 100/380 Loss 33.487 Prec@(1,5) (6.3%, 18.2%)
08/01 11:56:53 AM | Train: [ 2/200] Step 110/380 Loss 33.408 Prec@(1,5) (6.3%, 18.5%)
08/01 11:57:01 AM | Train: [ 2/200] Step 120/380 Loss 33.398 Prec@(1,5) (6.5%, 18.5%)
08/01 11:57:06 AM | Train: [ 2/200] Step 130/380 Loss 33.365 Prec@(1,5) (6.6%, 18.7%)
08/01 11:57:12 AM | Train: [ 2/200] Step 140/380 Loss 33.374 Prec@(1,5) (6.5%, 18.7%)
08/01 11:57:19 AM | Train: [ 2/200] Step 150/380 Loss 33.315 Prec@(1,5) (6.5%, 18.8%)
08/01 11:57:24 AM | Train: [ 2/200] Step 160/380 Loss 33.246 Prec@(1,5) (6.8%, 19.4%)
08/01 11:57:30 AM | Train: [ 2/200] Step 170/380 Loss 33.181 Prec@(1,5) (7.0%, 19.6%)
08/01 11:57:35 AM | Train: [ 2/200] Step 180/380 Loss 33.164 Prec@(1,5) (7.1%, 19.6%)
08/01 11:57:40 AM | Train: [ 2/200] Step 190/380 Loss 33.122 Prec@(1,5) (7.2%, 19.8%)
08/01 11:57:46 AM | Train: [ 2/200] Step 200/380 Loss 33.127 Prec@(1,5) (7.0%, 19.8%)
08/01 11:57:52 AM | Train: [ 2/200] Step 210/380 Loss 33.043 Prec@(1,5) (7.1%, 20.3%)
08/01 11:57:57 AM | Train: [ 2/200] Step 220/380 Loss 33.000 Prec@(1,5) (7.2%, 20.3%)
08/01 11:58:03 AM | Train: [ 2/200] Step 230/380 Loss 32.934 Prec@(1,5) (7.3%, 20.6%)
08/01 11:58:09 AM | Train: [ 2/200] Step 240/380 Loss 32.882 Prec@(1,5) (7.3%, 20.6%)
08/01 11:58:18 AM | Train: [ 2/200] Step 250/380 Loss 32.829 Prec@(1,5) (7.4%, 20.9%)
08/01 11:58:27 AM | Train: [ 2/200] Step 260/380 Loss 32.784 Prec@(1,5) (7.5%, 21.1%)
08/01 11:58:34 AM | Train: [ 2/200] Step 270/380 Loss 32.760 Prec@(1,5) (7.4%, 21.1%)
08/01 11:58:42 AM | Train: [ 2/200] Step 280/380 Loss 32.715 Prec@(1,5) (7.4%, 21.2%)
08/01 11:58:50 AM | Train: [ 2/200] Step 290/380 Loss 32.664 Prec@(1,5) (7.5%, 21.5%)
08/01 11:58:58 AM | Train: [ 2/200] Step 300/380 Loss 32.626 Prec@(1,5) (7.5%, 21.6%)
08/01 11:59:05 AM | Train: [ 2/200] Step 310/380 Loss 32.571 Prec@(1,5) (7.6%, 22.0%)
